* 0ae8744 2025-10-21 | Apply patch /tmp/a72651ad-d93f-4796-ba62-9191c157f3d4.patch (HEAD) [google-labs-jules[bot]]
* 28129c9 2025-10-20 | move python to own seperate build xml file (grafted, origin/ubl-2.5-python, origin/HEAD, ubl-2.5-python) [kduvekot]
* 9aab74c 2025-10-12 | Update New Document Types in UBL 2.5 (grafted, origin/ubl-2.5) [Kees Duvekot]
* c12b81a 2025-10-08 | sync main repo build.yml (grafted, origin/main) [Kees Duvekot]
* 4c0ffc3 2025-07-06 | UBL-433 Include deprecated columns in XSDs (grafted, origin/UBL-433-xsd-doc) [gkholman]
* c55958d 2025-06-20 | Second attempt, commenting out content rather than using condition= applicability (grafted, origin/ubl-2.4-os-iso-pub) [gkholman]
* 39fae0d 2025-06-11 | Polish up column heading that doesn't need to be abbreviated (grafted, origin/ubl-2.5-dev) [gkholman]
* 15c714c 2025-05-23 | Old spreadsheet references out of date (grafted, origin/retest) [gkholman]
* 154a8bc 2025-04-30 | Update spellcheck-UBL.txt (grafted, origin/ubl-2.5-kenneth) [Kenneth Bengtsson]
* 779bf4b 2025-03-23 | Retrying 2.4 OS publishing (grafted, tag: UBL-2.4-ISO, origin/ubl-2.4-os) [gkholman]
* 8c4d077 2024-06-24 | Test of server ability to recreate outputs (grafted, origin/ubl-2.4-cs01) [gkholman]
* 6cc2cf5 2024-05-30 | Use version of API interface as used on server (grafted, origin/kentest) [gkholman]
* 0b381cc 2023-10-12 | Add files via upload (grafted, origin/tsc-ubl-2.5-experimental) [Kenneth Bengtsson]
* 0b0b0b3 2023-09-26 | Merge pull request #24 from oasis-tcs/ubl-2.4-csd01-docx (grafted, origin/ubl-2.4-csd01) [Kees Duvekot]
* 7c01887 2023-09-20 | Updated CS01 version (grafted, origin/ubl-2.4-cs01-work) [Kenneth Bengtsson]
* 9b42a40 2023-07-25 | Update config-UBL.xml (grafted, origin/ubl-2.4-csd02) [Kenneth Bengtsson]
* 476e1ad 2023-07-04 | Previous stage version set to 2.4 (grafted, origin/ubl-2.4-csd02-tsc, origin/ubl-2.4-csd02-prd01-13) [Kenneth Bengtsson]
* 33d4527 2023-02-07 | Merge pull request #20 from oasis-tcs/ubl-2.4-csd01wd02-kdtemp (grafted, origin/ubl-2.4-csd01wd02) [Kees Duvekot]
* 876778c 2023-02-01 | Added Purchase Order example + updated to 2.4 XSDs (grafted, origin/review) [Kenneth Bengtsson]
* 9fb6dfb 2022-11-26 | Repair 2.4 csd01wd02 with a clean build (grafted, tag: UBL-2.4-csd01wd02-20221127-0125z) [gkholman]
* bc99520 2021-06-18 | Repair text in Status section (grafted, origin/ubl-2.3-os-iso, origin/ubl-2.3-os) [gkholman]
* 21efa9e 2021-06-01 | Revised README diagram (grafted, origin/ubl-2.4-csd01wd01) [gkholman]
* 47eb1f5 2021-05-23 | First attempt at CS02 (grafted, origin/ubl-2.3-cs02) [gkholman]
* 57dda2e 2021-05-16 | Rebuild results on edit branch (grafted, origin/ubl-2.3-csd05-copy) [gkholman]
